The Homesman:	 81, 52
Come Back To Me:	 17, 36
Force Majeure:	 93, 75
Song Of The Sea:	 99, 92
Nightcrawler:	 95, 85
V/H/S: Viral:	 37, 14
Animal:	 50, 33
TinkerBell and the Legend of the NeverBeast:	 74, 76
The Humbling:	 50, 28
Son of a Gun:	 63, 64
Late Phases:	 67, 43
Outcast:	 5, 21
Meet The Mormons:	 18, 89
Vice:	 4, 15
Out Of The Dark:	 24, 23
Big Eyes:	 72, 68
Days of Grace:	 65, 64
A Few Best Men:	 15, 36
The Immigrant:	 85, 60
Enter the Dangerous Mind:	 23, 29
The Devil's Violinist:	 31, 45
The Loft:	 15, 37
These Final Hours:	 82, 64
Jinn:	 18, 32
Paddington:	 98, 80
The Voices:	 74, 56
Last Days in Vietnam:	 95, 84
The Babadook:	 98, 72
Happy Valley:	 89, 70
Killers:	 86, 64
A Most Violent Year:	 89, 69
The Cobbler:	 9, 36
You're Not You:	 44, 70
Zombeavers:	 69, 31
Supremacy:	 20, 84
Champs:	 53, 95
Girlhood:	 96, 73
Everly:	 30, 29
Miss Julie:	 50, 24
The Last 5 Years:	 59, 57
Cake:	 48, 44
[REC] 4: Apocalypse:	 75, 34
My Mistress:	 33, 33
The Seven Five:	 85, 85
Lovesick:	 36, 21
My Life Directed By Nicolas Winding Refn:	 59, 40
Tracers:	 26, 37
The Lovers:	 8, 19
The Wrecking Crew:	 94, 84
Pound Of Flesh:	 17, 19
Serena:	 16, 23
The Gunman:	 17, 31
Gore Vidal: The United States Of Amnesia:	 80, 84
Chappie:	 32, 56
Welcome to Me:	 73, 46
Cut Bank:	 34, 29
The Loft:	 15, 37
Rich Hill:	 85, 81
The Lazarus Effect:	 15, 23
Born To Fly:	 90, 71
24 Days:	 79, 58
Ballet 422:	 86, 62
Clouds of Sils Maria:	 90, 64
It Follows:	 97, 66
White God:	 88, 71
Ex Machina:	 92, 86
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau:	 100, 87
While We're Young:	 84, 51
Kill Me Three Times:	 15, 30
Kung Fu Killer:	 72, 57
All Relative:	 10, 90
Woman in Gold:	 56, 79
The Taking of Tiger Mountain:	 73, 67
The Sisterhood Of Night:	 80, 65
Slow West:	 92, 75
Playing It Cool:	 14, 32
Survivor:	 9, 32
Any Day:	 0, 20
Dawn Patrol:	 0, 9
The Runner:	 25, 22
The Seventh Dwarf:	 22, 28
Little Boy:	 23, 78
The Riot Club (Posh):	 65, 43
Blackbird:	 25, 55
Dior and I:	 83, 76
5 to 7:	 69, 70
Match:	 76, 67
Soaked In Bleach:	 30, 76
Madame Bovary:	 43, 27
The Salvation:	 72, 61
Welcome To New York:	 75, 41
The Suicide Theory:	 78, 69
The Dead Lands:	 69, 56
Glen Campbell: I'll Be Me:	 100, 88
After the Ball:	 27, 42
Backcountry:	 89, 54
American Heist:	 13, 18
Adult Beginners:	 49, 30
Good Kill:	 75, 49
Jackie & Ryan:	 62, 40
Burying the Ex:	 29, 30
Felt:	 61, 35
Iris:	 98, 80
Strangerland:	 41, 24
The Nightmare:	 70, 43
The Overnight:	 82, 54
Lila & Eve:	 40, 40
Robot Overlords:	 61, 24
Amnesiac:	 21, 15
The D Train:	 52, 23
Skin Trade:	 25, 29
Southpaw:	 59, 75
Electric Boogaloo: The Wild, Untold Story of Cannon Films:	 90, 82
The Human Centipede III (Final Sequence):	 18, 10
Return to Sender:	 13, 24
Dark Places:	 24, 33
Matt Shepard is a Friend of Mine:	 100, 86
The Falling:	 74, 35
Manglehorn:	 49, 25
Bai ri yan huo (Black Coal, Thin Ice):	 95, 58
Mateo:	 57, 50
Before We Go:	 21, 55
The Little Death:	 61, 63
Sharknado 3: Oh Hell No!:	 36, 28
A Murder In The Park:	 76, 68
Gloria:	 100, 67
Batkid Begins:	 81, 83
The End Of The Tour:	 91, 82
Best Of Enemies:	 94, 86
Fresh Dressed:	 90, 56
The Overnight:	 82, 54
People Places Things:	 77, 71
Ten Thousand Saints:	 57, 36
Unexpected:	 66, 44
The Wolfpack:	 85, 68
Call Me Lucky:	 85, 79
Zipper:	 17, 27
We Are Still Here:	 95, 48
Results:	 84, 36
The Gift:	 92, 75
7 Chinese Brothers:	 75, 43
Final Girl:	 33, 24
Big Sky:	 20, 9
Desert Dancer:	 30, 62
The Square (Al Midan):	 100, 90
Matt Shepard is a Friend of Mine:	 100, 86
Get Santa:	 77, 53
Stations of the Cross:	 92, 73
The Kindergarten Teacher (Haganenet):	 76, 43
Some Kind of Beautiful:	 6, 30
Jenny's Wedding:	 20, 33
Tokyo Tribe:	 52, 47
Time Out Of Mind:	 79, 41
Mr. Dynamite: The Rise of James Brown:	 100, 84
Mississippi Grind:	 90, 54
The Hunting Ground:	 93, 85
Meru:	 89, 91
The Stanford Prison Experiment:	 83, 75
Tangerine:	 97, 76
Deathgasm:	 87, 65
Queen of Earth:	 93, 59
Close Range:	 80, 27
He Named Me Malala:	 72, 72
Slow Learners:	 73, 52
Amy:	 95, 87
Unbranded:	 73, 84
Once I Was A Beehive:	 75, 70
Walt Before Mickey:	 20, 40
One & Two:	 47, 30
Wild City:	 50, 35
Memories of the Sword:	 75, 51
Palio:	 95, 82
Sex, Death And Bowling:	 17, 74
Finders Keepers:	 98, 73
Ronaldo:	 17, 47
Hell & Back:	 0, 33
Rock the Kasbah:	 8, 28
Sleeping with Other People:	 63, 56
Night Will Fall:	 100, 92
Kahlil Gibran's The Prophet:	 67, 75
Entertainment:	 82, 46
Northern Soul:	 77, 55
The Look of Silence:	 96, 89
Second Coming:	 82, 38
Songs From The North:	 100, 42
The Visit:	 66, 51
Man Up:	 79, 69
The Black Panthers: Vanguard Of The Revolution:	 92, 71
Experimenter:	 86, 61
Hellions:	 25, 16
I Am Thor:	 88, 72
Secret in Their Eyes:	 40, 41
Bad Hurt:	 80, 71
Bleeding Heart:	 43, 32
My All American:	 33, 77
The Assassin:	 80, 47
Big Stone Gap:	 35, 54
Spotlight:	 97, 93
Contracted: Phase II:	 38, 14
Extraordinary Tales:	 61, 50
Wrecker:	 0, 13
Cabin Fever:	 0, 12
Rabid Dogs (Enragés):	 67, 44
The Pack:	 50, 16
Extraction:	 6, 18
Batman: Bad Blood:	 100, 63
Marguerite & Julien (Marguerite et Julien):	 22, 33
Life:	 64, 44
The Hateful Eight:	 74, 76
The Big Short:	 88, 87
The Tribe:	 87, 69
Sunshine Superman:	 91, 67
The Letters:	 27, 66
Carol:	 95, 73
Cartel Land:	 89, 81
The Forbidden Room:	 95, 50
James White:	 91, 70
The Mask You Live In:	 60, 76
Don Verdean:	 29, 24
Steve Jobs: Man in the Machine:	 77, 57
Killing Them Safely (Tom Swift And His Electric Rifle):	 90, 53
Grease: Live!:	 91, 69
Gored:	 75, 46
Love:	 38, 37
Victoria:	 82, 83
